KS1295[%]	6082[%]	2024[%]	bat-box[%]	3003[%]	4032[%]	Al	Si	Cu	Ni	Mg	Mn	Fe	Cr	Ti	Zr	V	Zn	Vf_FCC_A1	Vf_DIAMOND_A4	Vf_AL15SI2M4	Vf_AL3X	Vf_AL6MN	Vf_MG2ZN3	Vf_AL3NI2	Vf_AL3NI_D011	Vf_AL7CU4NI	Vf_AL2CU_C16	Vf_Q_ALCUMGSI	Vf_AL7CU2FE	Vf_MG2SI_C1	Vf_AL9FE2SI2	Vf_AL18FE2MG7SI10	eut. frac.[%]	eut. T (C)	T_FCC_A1	T_DIAMOND_A4	T_AL15SI2M4	T_AL3X	T_AL6MN	T_MG2ZN3	T_AL3NI2	T_AL3NI_D011	T_AL7CU4NI	T_AL2CU_C16	T_Q_ALCUMGSI	T_AL7CU2FE	T_MG2SI_C1	T_AL9FE2SI2	T_AL18FE2MG7SI10	T(liqu)	T(sol)	delta_T	delta_T_FCC	delta_T_Al15Si2M4	delta_T_Si	CSC	YS(MPa)	hardness(Vickers)	CTEvol(1/K)(20.0-300.0C)	Density(g/cm3)	Volume(m3/mol)	El.conductivity(S/m)	El. resistivity(ohm m)	heat capacity(J/(mol K))	Therm.conductivity(W/(mK))	Therm. diffusivity(m2/s)	Therm.resistivity(mK/W)	Linear thermal expansion (1/K)(20.0-300.0C)	Technical thermal expansion (1/K)(20.0-300.0C)
0	17.133	22.739	24.978	11.552	23.596	92.954	3.4318	1.3061	0.3167	0.8252	0.5155	0.4033	0.0698	0.0564	0.0217	0.0217	0.1719	90.07	2.97663	1.1937	nan	2.021	nan	0.4195	1.296	0.26783	1.0036	0.15633	0.002	0.50311	0.61262	0.31543	55.223	615.4453	630.0647	432.12867	641.4854	321.9474	412.1044	nan	519.267	392.16386	427.701	268.00771	336.33243	554.2325	496.9627	390.451	482.0956	662.49	541.91333	120.57667	44.33667	120.57667	24.09667	0.56613	56.0076	17.1329	7.85E-05	2.6845	1.02E-05	1.32E+07	7.68E-08	27.68	180.71	6.67E-05	0.00559	2.62E-05	2.39E-05
4.00E-04	17.37238	22.09654	25.32438	12.36302	22.84156	93.08819	3.34486	1.27076	0.30679	0.81605	0.52335	0.40334	0.06951	0.05567	0.02181	0.02181	0.16896	90.24731	2.87473	1.21582	nan	2.02097	nan	0.41848	1.24668	0.26934	0.96378	0.15634	0.00194	0.49969	0.60041	0.31004	55.10303	616.18659	630.79089	428.3321	641.64172	324.77121	412.50317	nan	519.88766	395.18645	428.3144	264.57825	337.22831	554.22701	495.86732	389.67182	480.03349	662.3244	541.9164	120.4076	46.40521	120.4076	23.5596	0.57195	56.11393	17.16543	7.86E-05	2.68415	1.02E-05	1.32E+07	7.66E-08	27.6838	181.2386	6.68E-05	0.00557	2.62E-05	2.39E-05
8.00E-04	17.61176	21.45407	25.67076	13.17405	22.08711	93.22238	3.25792	1.23541	0.29688	0.8069	0.5312	0.40338	0.06922	0.05495	0.02192	0.02192	0.16603	90.42462	2.77283	1.23794	nan	2.02094	nan	0.41746	1.19736	0.27085	0.92395	0.15635	0.00188	0.49628	0.58819	0.30465	54.98306	616.92788	631.51709	424.53554	641.79805	327.59502	412.90195	nan	520.50832	398.20904	428.9278	261.14878	338.12419	554.22152	494.77194	388.89263	477.97138	662.1588	541.91947	120.23853	48.47375	120.23853	23.02253	0.57778	56.22025	17.19797	7.87E-05	2.6838	1.02E-05	1.32E+07	7.63E-08	27.6876	181.7672	6.70E-05	0.00556	2.62E-05	2.39E-05
0.0012	17.85114	20.81161	26.01714	13.98507	21.33267	93.35657	3.17097	1.20007	0.28698	0.79776	0.53905	0.40341	0.06892	0.05422	0.02204	0.02204	0.16309	90.60193	2.67094	1.26007	nan	2.02091	nan	0.41644	1.14804	0.27235	0.88413	0.15635	0.00182	0.49286	0.57598	0.29926	54.86309	617.66917	632.24328	420.73898	641.95437	330.41883	413.30072	nan	521.12899	401.23163	429.54121	257.71931	339.02007	554.21603	493.67655	388.11345	475.90926	661.9932	541.92253	120.06946	50.54229	120.06946	22.48546	0.58361	56.32658	17.2305	7.88E-05	2.68345	1.02E-05	1.33E+07	7.61E-08	27.6914	182.29581	6.72E-05	0.00554	2.63E-05	2.40E-05
0.0016	18.09052	20.16915	26.36353	14.79609	20.57823	93.49076	3.08403	1.16472	0.27707	0.78861	0.5469	0.40345	0.06863	0.0535	0.02215	0.02215	0.16016	90.77924	2.56904	1.28219	nan	2.02088	nan	0.41542	1.09872	0.27386	0.8443	0.15636	0.00176	0.48944	0.56376	0.29387	54.74312	618.41046	632.96948	416.94242	642.1107	333.24263	413.6995	nan	521.74965	404.25422	430.15461	254.28984	339.91595	554.21055	492.58117	387.33427	473.84715	661.8276	541.9256	119.9004	52.61083	119.9004	21.94839	0.58944	56.43291	17.26304	7.89E-05	2.6831	1.02E-05	1.33E+07	7.59E-08	27.6952	182.82441	6.74E-05	0.00552	2.63E-05	2.40E-05
0.002	18.3299	19.52669	26.70991	15.60712	19.82378	93.62495	2.99709	1.12938	0.26716	0.77946	0.55475	0.40349	0.06834	0.05277	0.02226	0.02226	0.15722	90.95655	2.46715	1.30431	nan	2.02085	nan	0.4144	1.0494	0.27537	0.80448	0.15637	0.0017	0.48602	0.55155	0.28848	54.62315	619.15175	633.69567	413.14586	642.26702	336.06644	414.09827	nan	522.37031	407.27681	430.76801	250.86037	340.81183	554.20506	491.48579	386.55508	471.78504	661.662	541.92867	119.73133	54.67937	119.73133	21.41132	0.59527	56.53923	17.29557	7.90E-05	2.68275	1.02E-05	1.34E+07	7.56E-08	27.699	183.35301	6.76E-05	0.00551	2.63E-05	2.40E-05
0.0024	18.56929	18.88422	27.05629	16.41814	19.06934	93.75914	2.91015	1.09404	0.25725	0.77031	0.5626	0.40353	0.06805	0.05204	0.02237	0.02237	0.15428	91.13386	2.36525	1.32643	nan	2.02082	nan	0.41338	1.00008	0.27687	0.76466	0.15637	0.00164	0.4826	0.53933	0.28309	54.50318	619.89305	634.42187	409.3493	642.42335	338.89025	414.49704	nan	522.99097	410.2994	431.38141	247.4309	341.70771	554.19957	490.39041	385.7759	469.72293	661.4964	541.93173	119.56226	56.74792	119.56226	20.87425	0.6011	56.64556	17.3281	7.91E-05	2.6824	1.02E-05	1.34E+07	7.54E-08	27.7028	183.88161	6.77E-05	0.00549	2.64E-05	2.41E-05
0.0028	18.80867	18.24176	27.40267	17.22916	18.3149	93.89333	2.8232	1.05869	0.24734	0.76116	0.57045	0.40357	0.06776	0.05132	0.02248	0.02248	0.15135	91.31117	2.26336	1.34855	nan	2.02079	nan	0.41236	0.95076	0.27838	0.72483	0.15638	0.00158	0.47919	0.52712	0.2777	54.38321	620.63434	635.14806	405.55273	642.57967	341.71406	414.89582	nan	523.61164	413.322	431.99482	244.00143	342.60359	554.19408	489.29502	384.99672	467.66081	661.3308	541.9348	119.3932	58.81646	119.3932	20.33718	0.60693	56.75188	17.36064	7.92E-05	2.68205	1.02E-05	1.34E+07	7.51E-08	27.7066	184.41021	6.79E-05	0.00547	2.64E-05	2.41E-05
0.0032	19.04805	17.5993	27.74905	18.04019	17.56046	94.02752	2.73626	1.02335	0.23744	0.75202	0.5783	0.4036	0.06746	0.05059	0.0226	0.0226	0.14841	91.48849	2.16146	1.37068	nan	2.02076	nan	0.41134	0.90144	0.27989	0.68501	0.15639	0.00152	0.47577	0.5149	0.2723	54.26324	621.37563	635.87426	401.75617	642.736	344.53787	415.29459	nan	524.2323	416.34459	432.60822	240.57196	343.49947	554.18859	488.19964	384.21754	465.5987	661.16519	541.93787	119.22413	60.885	119.22413	19.80012	0.61276	56.85821	17.39317	7.93E-05	2.6817	1.02E-05	1.35E+07	7.49E-08	27.7104	184.93882	6.81E-05	0.00545	2.64E-05	2.41E-05
0.0036	19.28743	16.95684	28.09543	18.85121	16.80601	94.16171	2.64932	0.988	0.22753	0.74287	0.58615	0.40364	0.06717	0.04987	0.02271	0.02271	0.14548	91.6658	2.05957	1.3928	nan	2.02073	nan	0.41032	0.85212	0.28139	0.64518	0.15639	0.00146	0.47235	0.50269	0.26691	54.14327	622.11692	636.60045	397.95961	642.89232	347.36168	415.69337	nan	524.85296	419.36718	433.22162	237.14249	344.39535	554.1831	487.10426	383.43835	463.53659	660.99959	541.94093	119.05506	62.95354	119.05506	19.26305	0.61859	56.96454	17.42571	7.94E-05	2.68135	1.02E-05	1.35E+07	7.47E-08	27.7142	185.46742	6.83E-05	0.00544	2.65E-05	2.42E-05
